price,trade_size
7.0,9278
7.13,9234
7.27,9191
7.4,9147
7.53,9104
7.67,9060
7.8,9017
7.93,8973
8.07,8930
8.2,8887
8.33,8844
8.47,8801
8.6,8758
8.73,8716
8.87,8673
9.0,8631
9.13,8589
9.27,8547
9.4,8505
9.53,8463
9.67,8422
9.8,8381
9.93,8340
10.07,8299
10.2,8259
10.33,8218
10.47,8179
10.6,8139
10.73,8099
10.87,8060
11.0,8021
11.13,7982
11.27,7944
11.4,7906
11.53,7868
11.67,7830
11.8,7793
11.93,7756
12.07,7719
12.2,7682
12.33,7646
12.47,7610
12.6,7574
12.73,7538
12.87,7503
13.0,7468
13.13,7434
13.27,7399
13.4,7365
13.53,7331
13.67,7297
13.8,7264
13.93,7231
14.07,7198
14.2,7165
14.33,7133
14.47,7101
14.6,7069
14.73,7038
14.87,7006
15.0,6975
