date,ts_recv,ts_event,side,price,size,ticker,und_ticker,expiration_date,option_type,strike_price
2024.08.26,09:40:16.298685522,09:40:16.298472960,N,0.25,4,XRX   241018C00012000,XRX,2024.10.18,C,12
2024.08.26,09:49:19.097596065,09:49:19.097384960,N,1.15,1,XRX   241018C00010000,XRX,2024.10.18,C,10
2024.08.26,10:02:49.462576366,10:02:49.462364416,N,0.29,5,XRX   241018C00012000,XRX,2024.10.18,C,12
2024.08.26,11:34:33.592585052,11:34:33.592374016,N,0.25,1,XRX   241018C00012000,XRX,2024.10.18,C,12
2024.08.26,11:47:03.199731168,11:47:03.199516160,N,1.2,2,XRX   241018C00010000,XRX,2024.10.18,C,10
2024.08.26,13:05:32.574470746,13:05:32.574258688,N,0.28,1,XRX   241018C00012000,XRX,2024.10.18,C,12
2024.08.26,15:30:54.426594476,15:30:54.426383616,N,0.25,268,XRX   241018C00012000,XRX,2024.10.18,C,12
2024.08.26,15:30:54.426605156,15:30:54.426394112,N,0.25,63,XRX   241018C00012000,XRX,2024.10.18,C,12
2024.08.26,15:30:54.426618517,15:30:54.426407680,N,0.25,46,XRX   241018C00012000,XRX,2024.10.18,C,12
2024.08.26,15:30:54.426618517,15:30:54.426407680,N,0.25,33,XRX   241018C00012000,XRX,2024.10.18,C,12
2024.08.26,15:30:54.426726753,15:30:54.426515712,N,0.25,44,XRX   241018C00012000,XRX,2024.10.18,C,12
2024.08.26,15:30:54.426726753,15:30:54.426515712,N,0.25,19,XRX   241018C00012000,XRX,2024.10.18,C,12
2024.08.26,15:30:54.426729884,15:30:54.426519040,N,0.25,10,XRX   241018C00012000,XRX,2024.10.18,C,12
2024.08.26,15:30:54.426758983,15:30:54.426546688,N,0.25,7,XRX   241018C00012000,XRX,2024.10.18,C,12
2024.08.26,15:30:54.426770821,15:30:54.426559488,N,0.25,5,XRX   241018C00012000,XRX,2024.10.18,C,12
2024.08.26,15:30:54.426777232,15:30:54.426566400,N,0.25,4,XRX   241018C00012000,XRX,2024.10.18,C,12
2024.08.26,15:30:54.426787406,15:30:54.426576640,N,0.25,1,XRX   241018C00012000,XRX,2024.10.18,C,12
2024.08.26,15:30:54.426787406,15:30:54.426576640,N,0.25,1,XRX   241018C00012000,XRX,2024.10.18,C,12
2024.08.26,15:30:54.426797056,15:30:54.426585344,N,0.25,1,XRX   241018C00012000,XRX,2024.10.18,C,12
2024.08.26,15:30:54.426846094,15:30:54.426635008,N,0.25,12,XRX   241018C00012000,XRX,2024.10.18,C,12
2024.08.26,14:51:47.895642087,14:51:47.895430912,N,0.01,2,XRX   240920P00008000,XRX,2024.09.20,P,8
2024.08.26,11:49:46.333239655,11:49:46.333028352,N,0.05,19,XRX   241018C00015000,XRX,2024.10.18,C,15
2024.08.26,09:44:45.888021131,09:44:45.887805184,N,0.15,6,XRX   240920P00010000,XRX,2024.09.20,P,10
2024.08.26,10:18:55.324581378,10:18:55.324369408,N,0.11,1,XRX   240920P00010000,XRX,2024.09.20,P,10
2024.08.26,10:22:20.969597289,10:22:20.969387264,N,2.3,2,XRX   241018P00013000,XRX,2024.10.18,P,13
2024.08.26,14:47:55.118667446,14:47:55.118455296,N,0.15,1,XRX   240920P00010000,XRX,2024.09.20,P,10
2024.08.26,14:48:22.285344576,14:48:22.285133312,N,0.13,1,XRX   240920P00010000,XRX,2024.09.20,P,10
2024.08.26,14:50:05.489507163,14:50:05.489297920,N,0.15,1,XRX   240920P00010000,XRX,2024.09.20,P,10
2024.08.26,14:50:29.817581421,14:50:29.817371136,N,0.15,1,XRX   240920P00010000,XRX,2024.09.20,P,10
2024.08.26,14:50:42.027267101,14:50:42.027055360,N,0.15,1,XRX   240920P00010000,XRX,2024.09.20,P,10
2024.08.26,14:54:33.118214289,14:54:33.118003968,N,0.14,1,XRX   240920P00010000,XRX,2024.09.20,P,10
2024.08.26,09:39:00.357367638,09:39:00.357156352,N,0.1,5,XRX   240920C00012000,XRX,2024.09.20,C,12
2024.08.26,10:13:50.757631294,10:13:50.757420032,N,0.15,3,XRX   240920C00012000,XRX,2024.09.20,C,12
2024.08.26,10:14:18.261703395,10:14:18.261492480,N,0.16,3,XRX   240920C00012000,XRX,2024.09.20,C,12
2024.08.26,10:14:18.261703395,10:14:18.261492480,N,0.16,3,XRX   240920C00012000,XRX,2024.09.20,C,12
2024.08.26,12:23:36.045570678,12:23:36.045359360,N,0.13,1,XRX   240920C00012000,XRX,2024.09.20,C,12
2024.08.26,12:40:28.255199038,12:40:28.254985984,N,0.14,5,XRX   240920C00012000,XRX,2024.09.20,C,12
2024.08.26,12:55:24.163955790,12:55:24.163744512,N,0.14,1,XRX   240920C00012000,XRX,2024.09.20,C,12
2024.08.26,12:55:41.281738408,12:55:41.281527552,N,0.15,5,XRX   240920C00012000,XRX,2024.09.20,C,12
2024.08.26,12:55:41.281784632,12:55:41.281572608,N,0.15,1,XRX   240920C00012000,XRX,2024.09.20,C,12
2024.08.26,13:18:27.078573145,13:18:27.078362112,N,0.16,1,XRX   240920C00012000,XRX,2024.09.20,C,12
2024.08.26,13:37:22.217673509,13:37:22.217460992,N,0.1,15,XRX   240920C00012000,XRX,2024.09.20,C,12
2024.08.26,13:37:22.217673509,13:37:22.217460992,N,0.1,3,XRX   240920C00012000,XRX,2024.09.20,C,12
2024.08.26,09:55:17.486916413,09:55:17.486705408,N,1.1,2,XRX   240920C00010000,XRX,2024.09.20,C,10
2024.08.26,13:05:32.011875181,13:05:32.011662592,N,1.2,1,XRX   240920C00010000,XRX,2024.09.20,C,10
2024.08.26,10:16:47.643582774,10:16:47.643369984,N,0.12,1,XRX   241018C00013000,XRX,2024.10.18,C,13
2024.08.26,11:52:49.881401856,11:52:49.881191168,N,2.1,3,XRX   240920P00013000,XRX,2024.09.20,P,13
2024.08.26,11:10:56.054324682,11:10:56.054112000,N,0.5,3,XRX   240920P00011000,XRX,2024.09.20,P,11
2024.08.26,11:11:00.034255760,11:11:00.034043392,N,0.5,2,XRX   240920P00011000,XRX,2024.09.20,P,11
2024.08.26,11:21:05.356784443,11:21:05.356571392,N,0.5,1,XRX   240920P00011000,XRX,2024.09.20,P,11
2024.08.26,11:28:38.391020736,11:28:38.390807552,N,0.52,1,XRX   240920P00011000,XRX,2024.09.20,P,11
2024.08.26,11:36:42.049629191,11:36:42.049420032,N,0.5,2,XRX   240920P00011000,XRX,2024.09.20,P,11
2024.08.26,11:37:46.190753915,11:37:46.190543104,N,0.5,1,XRX   240920P00011000,XRX,2024.09.20,P,11
