date,ticker,batch,shortname,redcode,sector,region,country,avrating,impliedrating,tier,currency,docclause,primarycurve,primarypricetype,runningcoupon,primarycoupon,tenor,parspread,convspreard,upfront,cdsrealrecovery,cdsassumedrecovery,carriedforward,compositedepth5y,primarydepthcontributed,primarydepthpassed,primarydepthpassed1wma,primarydepthpassed1mma,primarydepthpassed2mma,compositepricerating,compositecurverating,hasclearsubmissions,hasquotes,hasbankcontributions,clearingsubmissionsdepthcontr,quotesdepthcontr,bankcontributionsdepthcontr,clearingsubmissionsdepthpassed,quotesdepthpassed,bankcontributionsdepthpassed,dailyupdatefrequency,maxdailymovement,_52wkhigh5y,_52wklow5y,contrstddevpassedrecovery,contrlqrangepassed,contrlqrangepassedrecovery,contr10thpctlpassed,contr10pctlpassedrecovery,contr90thpctlpassed,contr90thpctlpassedrecovery,contrmaxminrangepassed,contrmaxminrangepassedrecovery,tierbasis,isdabasis,ccybasis,docclausebasis,tierbasiscarriedforward,tierbasisdepthpassed,tierbasisstddevpassed,tierbasis10thpctlpassed,tierbasis90thpctlpassed,isdabasiscarriedforward,isdabasisdepthpassed,isdabasisstddevpassed,isdabasis10thpctlpassed,isdabasis90thpctlpassed,ccybasiscarriedforward,ccybasisdepthpassed,ccybasisstddevpassed,ccybasis10thpctlpassed,ccybasis90thpctlpassed,docclausebasiscarriedforward,docclausebasisdepthpassed,docclausebasisstddevpassed,docclausebasis10thpctlpassed,docclausebasis90thpctlpassed,tenorbasisdepthpassed,tenorbasisstddevpassed,tenorbasis10thpctlpassed,tenorbasis90thpctlpassed,idxmember,dealersclearingcountcruve,dealersclearingcountcurve1wma,dealersclearingcountcurve1mma,dealersclearingcountcurve2mma,dealersquotescountcurve,dealersquotescountcurve1wma,dealersquotescountcurve1mma,dealersquotescountcurve2mma,quotescountcurve,quotescountcurve1wma,quotescountcurve1mma,quotescountcurve2mma,dealersquotescounttenor,dealersquotescounttenor1wma,dealersquotescounttenor1mma,dealersquotescounttenor2mma,quotescounttenor,quotescounttenor1wma,quotescounttenor1mma,quotescounttenor2mma,dealersborcountcurve,dealersborcountcurve1wma,dealersborcountcurve1mma,dealersborcountcurve2mma,upfrontbaspreadaverage,upfrontbaspreadaverage1wma,upfrontbaspreadaverage1mma,upfrontbaspreadaverage2mma,upfrontbaspreadhigh,upfrontbaspreadhigh1wma,upfrontbaspreadhigh1mma,upfrontbaspreadhigh2mma,convbaspreadaverage,convbaspreadaverage1wma,convbaspreadaverage1mma,convbaspreadaverage2mma,convbaspreadhigh,convbaspreadhigh1wma,convbaspreadhigh1mma,convbaspreadhigh2mma,bidasktype5y,baspreaddepthpassed,upfrontbaspreadstddevpassed,upfrontbaspread10thpctlpassed,upfrontbaspread90thpctlpassed,convbaspreadstddevpassed,convbaspread10thpctlpassed,convbaspread90thpctlpassed,estimatednotional,curveliquidityscore,curveliquidityscore1wma,curveliquidityscore1mma,curveliquidityscore2mma,sec4lastupdate,wklygnsec4,wklygnsec41mma,wklygnsec42mma,wklycontrctsec4,wklycontrctsec41mma,wklycontrctsec42mma,gnxtrd,gnxtrd1mma,gnxtrd2mma,tbl6lastupdate,wklygrossnotional,wklygrossnotional1m,wklygrossnotional1y,wklynetnotional,wklynetnotional1m,wklynetnotional1y,wklycontr,wklycontr1m,wklycontr1y,creditdv01,riskypv01,irdv01,rec01,dp,jtd,dtz,stock_price,financial_debt_ratio,implied_vol,par_spread_error,delta,gamma
2021-01-04,XRX,EOD,Xerox Corp,9HC533,Technology,N.Amer,United States,BB,BB,SNRFOR,USD,XR14,Y,ConvSpread,0.01,Y,5Y,0.01735375,0.01750004,0.03482058,0.4,0.4,0.0,4.0,16.0,4.0,4.0,4.0,6.0,A,A,,Y,N,7.0,1.0,8.0,3.0,1.0,,62.0,2.288e-05,,,0.0,1.00286853,1.0,0.01743,,0.01757005,0.4,0.0002,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Both,7.0,7.0,7.0,6.0,6.0,4.0,6.0,6.0,356.0,110.0,164.0,164.0,6.0,4.0,6.0,6.0,148.0,46.0,38.0,41.0,15.0,15.0,15.0,15.0,0.0090019689,0.0090161903,0.009231238466667,0.009457806683333,0.0106898879,0.01016591678,0.011274325114286,0.012063881307143,0.002,0.002,0.0020452381,0.002092658735714,0.002375,0.002255,0.002497619047619,0.002669047619048,Observed,4.0,,,,0.0,0.002,0.002,5000000.0,2.0,3.0,2.0,2.0,2020-12-25,20000000.0,29651764.71,34212411.68,8.0,8.0,10.0,2500000.0,3663921.57,3417399.13,2020-12-25,3676163450.0,4090762295.0,4992540212.0,699137629.0,838979650.0,1100496597.0,683.0,729.0,710.0,4589.8,4.73,-89.1,13607.06,0.13831925,5651802.8,9651802.8,22.52,24.956666083471,0.8869494783017366,1.3105222393394733e-09,,
2021-01-05,XRX,EOD,Xerox Corp,9HC533,Technology,N.Amer,United States,BB,BB,SNRFOR,USD,XR14,Y,ConvSpread,0.01,Y,5Y,0.01732612,0.01747503,0.03469967,0.4,0.4,0.0,4.0,16.0,4.0,4.0,4.0,6.0,A,BBB,,Y,N,7.0,1.0,8.0,3.0,1.0,,53.0,0.00025285,,,0.0,1.00143348,1.0,0.01742997,,0.01750011,0.4,0.0001002,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Both,7.0,7.0,7.0,6.0,7.0,5.0,6.0,6.0,283.0,174.0,170.0,168.0,7.0,5.0,6.0,6.0,87.0,65.0,41.0,42.0,15.0,15.0,15.0,15.0,0.0083716388,0.00903581416,0.009192165754545,0.009442847157143,0.0105771324,0.01007004042,0.011242634536364,0.012058575311905,0.00186,0.00200533334,0.002036818186364,0.002089325402381,0.00235,0.002235,0.002490909090909,0.002667857142857,Observed,5.0,,,,0.0003130495,0.00158,0.002,5000000.0,2.0,3.0,2.0,2.0,2020-12-25,20000000.0,29115555.56,33806342.77,8.0,8.0,10.0,2500000.0,3599259.26,3391187.73,2020-12-25,3676163450.0,4090762295.0,4992540212.0,699137629.0,838979650.0,1100496597.0,683.0,729.0,710.0,4591.69,4.74,-88.78,13593.32,0.13810252,5653011.41,9653011.41,22.84,24.956666083471,0.8916987057717034,1.5204088682496675e-09,,
2021-01-06,XRX,EOD,Xerox Corp,9HC533,Technology,N.Amer,United States,BB,BB,SNRFOR,USD,XR14,Y,ConvSpread,0.01,Y,5Y,0.01710909,0.01725005,0.03365926,0.4,0.4,0.0,4.0,16.0,4.0,4.0,4.0,6.0,A,BBB,,Y,N,7.0,1.0,8.0,3.0,1.0,,59.0,0.00037495,,,0.0,1.02941441,1.0,0.017,,0.01750013,0.4,0.00050018,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Both,7.0,7.0,7.0,6.0,6.0,6.0,6.0,6.0,304.0,243.0,172.0,171.0,6.0,6.0,6.0,6.0,136.0,96.0,45.0,44.0,15.0,15.0,15.0,15.0,0.0090114569,0.0088840107,0.009167504890909,0.009432814825581,0.0107011548,0.0100006328,0.011139674386364,0.012027007393023,0.002,0.001972,0.002032272731818,0.002087248067442,0.002375,0.00222,0.002469318181818,0.002661046511628,Observed,4.0,,,,0.0,0.002,0.002,5000000.0,2.0,2.0,2.0,2.0,2021-01-01,9000000.0,28056842.11,31996799.94,2.0,8.0,10.0,4500000.0,3646666.67,3416424.87,2021-01-01,3696086292.0,4010126794.0,5030340789.0,697362263.0,831055692.0,1100504907.0,687.0,720.0,708.0,4594.28,4.73,-86.07,13426.01,0.13637357,5663417.38,9663417.38,23.29,24.956666083471,0.897681488075512,1.8257958131484564e-09,,
2021-01-07,XRX,EOD,Xerox Corp,9HC533,Technology,N.Amer,United States,BB,BB,SNRFOR,USD,XR14,Y,ConvSpread,0.01,Y,5Y,0.01698699,0.01712499,0.03305453,0.4,0.4,0.0,5.0,16.0,5.0,4.0,4.0,6.0,AA,A,,Y,N,7.0,1.0,8.0,4.0,1.0,,62.0,0.00020274,,,0.0,1.01177765,1.0,0.017,,0.01721493,0.4,0.00022474,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Both,7.0,7.0,7.0,6.0,7.0,7.0,6.0,6.0,309.0,313.0,178.0,175.0,7.0,7.0,6.0,6.0,133.0,126.0,49.0,47.0,15.0,15.0,15.0,15.0,0.0081088154,0.00870196446,0.009097606809091,0.009402723929545,0.0105865774,0.01031413896,0.011027637486364,0.011994270347727,0.0018,0.001932,0.002017500004545,0.002080719702273,0.00235,0.00229,0.002445454545455,0.002653977272727,Observed,5.0,,,,0.0004472136,0.0014,0.002,5000000.0,2.0,2.0,2.0,2.0,2021-01-01,9000000.0,28056842.11,31996799.94,2.0,8.0,10.0,4500000.0,3646666.67,3416424.87,2021-01-01,3696086292.0,4010126794.0,5030340789.0,697362263.0,831055692.0,1100504907.0,687.0,720.0,708.0,4593.06,4.73,-84.47,13325.27,0.13542547,5669464.57,9669464.57,23.56,24.956666083471,0.901219239355374,2.0243791365448516e-09,,
2021-01-08,XRX,EOD,Xerox Corp,9HC533,Technology,N.Amer,United States,BB,BB,SNRFOR,USD,XR14,Y,ConvSpread,0.01,Y,5Y,0.01703906,0.01717504,0.03324803,0.4,0.4,0.0,4.0,16.0,4.0,4.0,4.0,5.0,A,BBB,,Y,N,7.0,1.0,8.0,3.0,1.0,,59.0,0.00010004,,,0.0,1.00733164,1.0,0.01702999,,0.01738006,0.4,0.0005,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Both,7.0,7.0,7.0,6.0,6.0,6.0,6.0,6.0,319.0,314.0,184.0,179.0,6.0,6.0,6.0,6.0,136.0,128.0,54.0,49.0,15.0,15.0,15.0,15.0,0.0089977248,0.00869832096,0.009075090645455,0.009347144297727,0.0106848478,0.01064792006,0.010927693931818,0.011925017154545,0.002,0.001932,0.00201295455,0.002069356065909,0.002375,0.002365,0.002423863636364,0.002639772727273,Observed,4.0,,,,0.0,0.002,0.002,5000000.0,2.0,2.0,2.0,2.0,2021-01-01,9000000.0,27837777.78,31357999.94,2.0,8.0,10.0,4500000.0,3719629.63,3446524.18,2021-01-01,3696086292.0,4010126794.0,5030340789.0,697362263.0,831055692.0,1100504907.0,687.0,720.0,708.0,4584.91,4.72,-84.89,13340.42,0.13569713,5667529.64,9667529.64,23.61,24.956666083471,0.9020731570942814,2.0710386600120145e-09,,
2021-01-11,XRX,EOD,Xerox Corp,9HC533,Technology,N.Amer,United States,BB,BB,SNRFOR,USD,XR14,Y,ConvSpread,0.01,Y,5Y,0.01729854,0.01744448,0.03439164,0.4,0.4,0.0,6.0,16.0,6.0,5.0,4.0,5.0,AA,A,,Y,N,7.0,1.0,8.0,5.0,1.0,,73.0,0.00042222,,,0.0,1.00718678,1.0,0.0172,,0.01773334,0.4,0.0009,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Both,7.0,7.0,7.0,7.0,6.0,6.0,6.0,6.0,367.0,316.0,194.0,182.0,6.0,6.0,6.0,6.0,144.0,127.0,60.0,51.0,15.0,15.0,15.0,15.0,0.008960881,0.00869010338,0.009031476080952,0.009317782792857,0.008960881,0.01030211868,0.010649974466667,0.011777096559524,0.002,0.001932,0.00200404762381,0.00206392857619,0.002,0.00229,0.002363095238095,0.002608333333333,Observed,4.0,,,,0.0,0.002,0.002,5000000.0,2.0,2.0,2.0,2.0,2021-01-01,9000000.0,24502352.94,27712794.12,2.0,8.0,9.0,4500000.0,3591764.7,3480657.44,2021-01-01,3696086292.0,4010126794.0,5030340789.0,697362263.0,831055692.0,1100504907.0,687.0,720.0,708.0,4569.34,4.71,-87.66,13503.61,0.13752545,5656088.97,9656088.97,23.31,24.956666083471,0.8984633309771216,1.8601910567461744e-09,,
2021-01-12,XRX,EOD,Xerox Corp,9HC533,Technology,N.Amer,United States,BB,BB,SNRFOR,USD,XR14,Y,ConvSpread,0.01,Y,5Y,0.01751581,0.01766673,0.03536367,0.4,0.4,0.0,3.0,16.0,3.0,4.0,4.0,5.0,A,A,,Y,N,7.0,1.0,8.0,2.0,1.0,,63.0,0.00038126,,,0.0,1.01139595,1.0,0.01752004,,0.01784004,0.4,0.0004,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Both,7.0,7.0,7.0,7.0,6.0,6.0,6.0,6.0,328.0,325.0,201.0,187.0,6.0,6.0,6.0,6.0,140.0,138.0,64.0,53.0,15.0,15.0,15.0,15.0,0.0082685702,0.00866948966,0.008996798540909,0.009286874569048,0.0089390093,0.00997449406,0.010572203322727,0.011681755133333,0.00185,0.00193,0.001997045459091,0.002057380957143,0.002,0.00222,0.002346590909091,0.0025875,Observed,4.0,,,,0.0003,0.00158,0.002,5000000.0,2.0,2.0,2.0,2.0,2021-01-01,9000000.0,23641111.11,27178142.86,2.0,7.0,8.0,4500000.0,3642222.22,3509781.51,2021-01-01,3696086292.0,4010126794.0,5030340789.0,697362263.0,831055692.0,1100504907.0,687.0,720.0,708.0,4558.56,4.71,-90.06,13643.17,0.13906566,5646371.94,9646371.94,23.29,24.956666083471,0.8988183274758084,1.869799162723673e-09,,
2021-01-13,XRX,EOD,Xerox Corp,9HC533,Technology,N.Amer,United States,BB,BB,SNRFOR,USD,XR14,Y,ConvSpread,0.01,Y,5Y,0.01751366,0.01766567,0.03533333,0.4,0.4,0.0,4.0,16.0,4.0,4.0,4.0,5.0,A,BBB,,Y,N,7.0,1.0,8.0,3.0,1.0,,67.0,9.683e-05,,,0.0,1.0037272,1.0,0.01756,,0.01774378,0.4,0.00026245,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Both,7.0,7.0,7.0,7.0,7.0,6.0,6.0,6.0,270.0,319.0,203.0,189.0,7.0,6.0,6.0,6.0,132.0,137.0,69.0,55.0,15.0,15.0,15.0,15.0,0.0084861463,0.00856442754,0.008952170731818,0.009268252981395,0.0089327954,0.00962082218,0.010394170822727,0.011617825837209,0.0019,0.00191,0.00198795455,0.002053720934884,0.002,0.002145,0.002307954545455,0.002573837209302,Observed,5.0,,,,0.0002236068,0.0017,0.002,5000000.0,2.0,2.0,2.0,2.0,2021-01-08,25651000.0,23746894.74,26454314.29,7.0,7.0,8.0,3664428.57,3643390.98,3528790.4,2021-01-08,3663396058.0,4034588666.0,4835885154.0,697238786.0,838037123.0,1106039260.0,683.0,725.0,711.0,4556.05,4.7,-89.93,13634.86,0.13901401,5646677.96,9646677.96,23.01,24.956666083471,0.8946582605481365,1.656043573106114e-09,,
2021-01-14,XRX,EOD,Xerox Corp,9HC533,Technology,N.Amer,United States,BB,BB,SNRFOR,USD,XR14,Y,ConvSpread,0.01,Y,5Y,0.0174749,0.01762267,0.03513991,0.4,0.4,0.0,4.0,16.0,4.0,4.0,4.0,5.0,A,A,,Y,N,7.0,1.0,8.0,3.0,1.0,,71.0,0.00010719,,,0.0,1.0066971,1.0,0.01753006,,0.01769714,0.4,0.0002,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Both,7.0,7.0,7.0,7.0,7.0,6.0,6.0,6.0,321.0,321.0,208.0,192.0,7.0,6.0,6.0,6.0,148.0,140.0,74.0,57.0,15.0,15.0,15.0,15.0,0.0080420835,0.00855108116,0.008907774018182,0.009240385493182,0.0089356674,0.00929064018,0.010318648886364,0.011556867690909,0.0018,0.00191,0.001978863640909,0.00204795455,0.002,0.002075,0.002292045454545,0.002560795454545,Observed,5.0,,,,0.0004472136,0.0014,0.002,5000000.0,2.0,2.0,2.0,2.0,2021-01-08,25651000.0,23746894.74,26454314.29,7.0,7.0,8.0,3664428.57,3643390.98,3528790.4,2021-01-08,3663396058.0,4034588666.0,4835885154.0,697238786.0,838037123.0,1106039260.0,683.0,725.0,711.0,4555.41,4.7,-89.39,13599.71,0.13856245,5648611.96,9648611.96,23.08,24.956666083471,0.8955691141229645,1.7031796459288095e-09,,
2021-01-15,XRX,EOD,Xerox Corp,9HC533,Technology,N.Amer,United States,BB,BB,SNRFOR,USD,XR14,Y,ConvSpread,0.01,Y,5Y,0.01755402,0.01770671,0.0354982,0.4,0.4,0.0,5.0,16.0,5.0,4.0,4.0,5.0,AA,A,,Y,N,7.0,1.0,8.0,4.0,1.0,,56.0,0.00010724,,,0.0,1.01135157,1.0,0.01754008,,0.01792,0.4,0.0005,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Both,7.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,282.0,314.0,214.0,194.0,7.0,7.0,6.0,6.0,126.0,138.0,78.0,59.0,15.0,15.0,15.0,15.0,0.0080328555,0.0083581073,0.0088625317,0.009207446579545,0.008925414,0.00893875342,0.010242160159091,0.0114672453,0.0018,0.00187,0.001969772731818,0.002041136368182,0.002,0.002,0.002276136363636,0.002541477272727,Observed,5.0,,,,0.0004472136,0.0014,0.002,5000000.0,2.0,2.0,2.0,2.0,2021-01-08,25651000.0,21294555.56,26432000.0,7.0,7.0,8.0,3664428.57,3471973.54,3532558.12,2021-01-08,3663396058.0,4034588666.0,4835885154.0,697238786.0,838037123.0,1106039260.0,683.0,725.0,711.0,4552.22,4.7,-90.27,13654.98,0.13914564,5645029.34,9645029.34,22.61,24.956666083471,0.8887641556240303,1.3818085911609934e-09,,
